molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,units,value
CHEMBL14699,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1,10.0,nM,8.00,uM,0.01
CHEMBL125331,CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,1790.0,nM,5.75,uM,1.79
CHEMBL123676,Nc1cc2ncnc(NCc3cccc([N+](=O)[O-])c3)c2cn1,10100.0,nM,5.00,uM,10.1
CHEMBL281300,C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,9.7,nM,8.01,nM,9.7
CHEMBL56912,COCCNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.0,nM,8.10,uM,0.008
CHEMBL55425,CCN(CC)CCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,57.0,nM,7.24,uM,0.057
CHEMBL125949,Nc1cc2ncnc(NCc3ccc(Br)cc3)c2cn1,2460.0,nM,5.61,uM,2.46
CHEMBL7810,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,4000.0,nM,5.40,uM,4.0
CHEMBL31276,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cn1,1.9,nM,8.72,nM,1.9
CHEMBL56027,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)(CO)CO,69.0,nM,7.16,uM,0.069
CHEMBL294034,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn1ccnc1,66.0,nM,7.18,uM,0.066
CHEMBL127763,Nc1cccc(CNc2ncnc3cc(N)ncc23)c1,10000.0,nM,,uM,10.0
CHEMBL7981,COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,500000.0,nM,,uM,500.0
CHEMBL7866,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,64.0,nM,7.19,uM,0.064
CHEMBL31745,CC#CC(=O)Nc1cnc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,6266.2,nM,5.20,nM,6266.2
CHEMBL283682,CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,258.9,nM,6.59,nM,258.9
CHEMBL293090,CNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.0,nM,8.10,uM,0.008
CHEMBL56142,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCCCC1,98.0,nM,7.01,uM,0.098
CHEMBL112422,Nc1ccc(-c2cc(=O)c3cc(N)cc(N)c3o2)cc1,100000.0,nM,,uM,100.0
CHEMBL287022,CC#CC(=O)Nc1cnc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,3762.4,nM,5.42,nM,3762.4
CHEMBL116051,Nc1ccc(-c2cc(=O)c3c(O)c(N)ccc3o2)cc1,100000.0,nM,,uM,100.0
CHEMBL333272,Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,5900.0,nM,5.23,uM,5.9
CHEMBL31437,CN(C)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cn1,10000.0,nM,,nM,10000.0
CHEMBL293064,CCN(CC)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,93.0,nM,7.03,uM,0.093
CHEMBL114578,Nc1ccc(-c2cc(=O)c3c(O)ccc(N)c3o2)cc1,100000.0,nM,,uM,100.0
CHEMBL128001,COc1ccc(Nc2ncnc3cc(N)ncc23)cc1,670.0,nM,6.17,uM,0.67
CHEMBL341053,CN(C)c1ccc(Nc2ncnc3cc(N)ncc23)cc1,4860.0,nM,5.31,uM,4.86
CHEMBL31118,CN(C)CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cn1,10000.0,nM,,nM,10000.0
CHEMBL56502,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN,6.0,nM,8.22,uM,0.006
CHEMBL432416,Nc1ccc(-c2cc(=O)c3cc(N)c(O)cc3o2)cc1,14100.0,nM,4.85,uM,14.1
CHEMBL124618,Nc1cc2ncnc(Nc3ccccc3N)c2cn1,5250.0,nM,5.28,uM,5.25
CHEMBL126062,Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1,10000.0,nM,5.00,uM,10.0
CHEMBL333041,Nc1cc2ncnc(NCc3ccc(C(F)(F)F)cc3)c2cn1,8000.0,nM,5.10,uM,8.0
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,195000.0,nM,,uM,195.0
CHEMBL449093,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,54.0,nM,7.27,uM,0.054
CHEMBL78280,CNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C(\C)[N+](=O)[O-])cc2OC)cc1,4000.0,nM,5.40,uM,4.0
CHEMBL78224,O=[N+]([O-])/C=C/c1ccc(O)c(O)c1,8800.0,nM,5.06,uM,8.8
CHEMBL117055,CCOc1ccc2nc(SCc3cc(/C=C(\C#N)C(N)=O)cc(OC)c3O)sc2c1,100000.0,nM,,uM,100.0
CHEMBL326044,COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCCC(=O)O)c1O,60000.0,nM,4.22,uM,60.0
CHEMBL309016,COc1cc(/C=C/[N+](=O)[O-])ccc1O,7900.0,nM,5.10,uM,7.9
CHEMBL77397,COc1cc(/C=C(\C)[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,2500.0,nM,5.60,uM,2.5
CHEMBL418906,CC(C)(C)OC(=O)NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,1400.0,nM,5.85,uM,1.4
CHEMBL78049,C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],9400.0,nM,5.03,uM,9.4
CHEMBL309392,C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)NCCN,17000.0,nM,4.77,uM,17.0
