molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,units,value
CHEMBL348069,COC(=O)c1ccc(NC(=O)c2c(SSc3c(C(=O)Nc4ccc(C(=O)OC)cc4)c4ccccc4n3C)n(C)c3ccccc23)cc1,100000.0,nM,,uM,100.0
CHEMBL346553,COC(=O)c1ccc(C(=O)c2c(SSc3c(C(=O)c4ccc(C(=O)OC)cc4)c4ccccc4n3C)n(C)c3ccccc23)cc1,6100.0,nM,5.21,uM,6.1
CHEMBL92825,Ic1cccc(Nc2ncnc3ccccc23)c1,80.0,nM,7.10,nM,80.0
CHEMBL117697,COc1cccc(Nc2ncnc3ccccc23)c1,842.0,nM,6.08,nM,842.0
CHEMBL89040,Cc1cccc2c1/C(=C/c1ccc(N3CCN(C=O)CC3)cc1)C(=O)N2,100000.0,nM,,uM,100.0
CHEMBL86432,CSc1ccc(/C=C2\C(=O)Nc3cccc(C)c32)s1,100000.0,nM,,uM,100.0
CHEMBL94275,O=[N+]([O-])c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1000.0,nM,6.00,nM,1000.0
CHEMBL54091,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,0.72,nM,9.14,nM,0.72
CHEMBL90277,Cc1cccc2c1/C(=C/c1ccc(N3CCOCC3)cc1)C(=O)N2,100000.0,nM,,uM,100.0
CHEMBL89723,CC(C)c1cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc(C(C)C)c1O,9500.0,nM,5.02,uM,9.5
CHEMBL352010,Cn1c(SSc2c(C(=O)Nc3cccnc3)c3ccccc3n2C)c(C(=O)Nc2cccnc2)c2ccccc21,100000.0,nM,,uM,100.0
CHEMBL351920,CC(=O)c1c(SSc2c(C(C)=O)c3ccccc3n2C)n(C)c2ccccc12,5600.0,nM,5.25,uM,5.6
CHEMBL330946,Nc1ccc2c(NCc3ccccc3)ncnc2c1,1000.0,nM,,nM,1000.0
CHEMBL333851,COc1cc2c(NCc3ccccc3)ncnc2cc1O,588.0,nM,6.23,nM,588.0
CHEMBL53665,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2n1,1.2,nM,8.92,nM,1.2
CHEMBL126456,CCOc1cc2ncnc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,4800.0,nM,5.32,uM,4.8
CHEMBL86480,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCOCC2)cc1,100000.0,nM,,uM,100.0
CHEMBL314217,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCCC2)cc1,100000.0,nM,,uM,100.0
CHEMBL87746,COc1c(Br)cc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,19000.0,nM,4.72,uM,19.0
CHEMBL118482,Brc1cccc(Nc2cnnc3ccccc23)c1,10000.0,nM,,nM,10000.0
CHEMBL278103,Cc1ccc(N)cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL119432,Nc1cccc2ncnc(NCc3ccccc3)c12,10000.0,nM,,nM,10000.0
CHEMBL93181,COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10.0,nM,8.00,nM,10.0
CHEMBL313578,O=C1Nc2ccccc2/C1=C/c1ccc(O)cc1,100000.0,nM,,uM,100.0
CHEMBL314798,C/C(=C1\C(=O)Nc2ccccc21)c1ccc(N2CCCCC2)cc1,100000.0,nM,,uM,100.0
CHEMBL316008,CCOC(=O)c1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,nM,,uM,100.0
CHEMBL87783,O=C1Nc2ccccc2/C1=C/c1sccc1Br,100000.0,nM,,uM,100.0
CHEMBL316268,O=C1Nc2ccccc2/C1=C/c1cc(Br)cs1,100000.0,nM,,uM,100.0
CHEMBL312826,O=C1Nc2ccccc2/C1=C\c1ccco1,100000.0,nM,,uM,100.0
CHEMBL278287,Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,49000.0,nM,4.31,uM,49.0
CHEMBL161226,CNC(=O)c1c(SSc2[nH]c3ccccc3c2C(=O)NC)[nH]c2ccccc12,6100.0,nM,5.21,uM,6.1
CHEMBL296168,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,1.1,nM,8.96,nM,1.1
CHEMBL51741,C=CC(=O)Nc1ccc2ncnc(N3CCc4ccc(Br)cc43)c2c1,0.4,nM,9.40,nM,0.4
CHEMBL313433,CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c(C)c1C,100000.0,nM,,uM,100.0
CHEMBL277430,Cc1ccc(N(C(=O)c2ccccc2)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,75000.0,nM,4.12,uM,75.0
CHEMBL21215,CNc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL347256,CN(C(=O)c1c(SSc2c(C(=O)N(C)c3ccccc3)c3ccccc3n2C)n(C)c2ccccc12)c1ccccc1,100000.0,nM,,uM,100.0
CHEMBL325245,COc1cc2ncnc(NCc3ccccc3)c2cc1OC,10.0,nM,8.00,nM,10.0
CHEMBL422540,c1ccc(-c2c(SSc3[nH]c4ccccc4c3-c3ccccc3)[nH]c3ccccc23)cc1,100000.0,nM,4.00,uM,100.0
CHEMBL315701,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCCCC2)cc1,100000.0,nM,,uM,100.0
CHEMBL277931,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,50000.0,nM,,uM,50.0
CHEMBL435054,Cn1c(SSc2c(C(=O)Nc3ccccn3)c3ccccc3n2C)c(C(=O)Nc2ccccn2)c2ccccc21,47000.0,nM,4.33,uM,47.0
CHEMBL345211,Cn1c(SSc2c(C(=O)NCC(=O)O)c3ccccc3n2C)c(C(=O)NCC(=O)O)c2ccccc21,10000.0,nM,5.00,uM,10.0
CHEMBL345622,Cn1c(SSc2c(C(=O)Nc3cccs3)c3ccccc3n2C)c(C(=O)Nc2cccs2)c2ccccc21,100000.0,nM,,uM,100.0
CHEMBL117804,c1ccc(CCNc2ncnc3ccccc23)cc1,4100.0,nM,5.39,nM,4100.0
CHEMBL324371,CN(c1ccccc1)c1ncnc2ccccc12,100000.0,nM,4.00,nM,100000.0
CHEMBL340862,CCOc1cc2ncnc(Nc3cccc(-c4cncs4)c3)c2cc1OCC,11.0,nM,7.96,uM,0.011
CHEMBL87810,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,100000.0,nM,,uM,100.0
CHEMBL20867,Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,100000.0,nM,,uM,100.0
CHEMBL158805,Cn1c(SSc2c(C(=O)NCc3ccc(C(=O)O)cc3)c3ccccc3n2C)c(C(=O)NCc2ccc(C(=O)O)cc2)c2ccccc21,5300.0,nM,5.28,uM,5.3
CHEMBL116748,O=[N+]([O-])c1ccc2c(NCc3ccccc3)ncnc2c1,5900.0,nM,5.23,nM,5900.0
CHEMBL115745,COc1cc2ncnc(NCc3ccccc3)c2cc1O,56.0,nM,7.25,nM,56.0
CHEMBL49986,C=CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.54,nM,9.27,nM,0.54
CHEMBL89809,Cc1cccc2c1/C(=C/c1ccc(N(C)C)cc1)C(=O)N2,100000.0,nM,,uM,100.0
CHEMBL89646,Cn1cc(Cl)c(/C=C2\C(=O)Nc3ccccc32)n1,100000.0,nM,,uM,100.0
CHEMBL48760,CC(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)cc1,18500.0,nM,4.73,uM,18.5
CHEMBL20252,Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL345862,Cn1c(SSc2c(C(=O)Nc3ccccc3C(=O)O)c3ccccc3n2C)c(C(=O)Nc2ccccc2C(=O)O)c2ccccc21,47000.0,nM,4.33,uM,47.0
CHEMBL331417,Brc1cccc(Nc2cnc3ccccc3n2)c1,100000.0,nM,,nM,100000.0
CHEMBL119708,O=[N+]([O-])c1cccc2ncnc(NCc3ccccc3)c12,8000.0,nM,5.10,nM,8000.0
CHEMBL424255,COc1cccc2c(NCc3ccccc3)ncnc12,10000.0,nM,,nM,10000.0
CHEMBL20926,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL156281,Cn1c(SSc2c(C(=O)Nc3ccncc3)c3ccccc3n2C)c(C(=O)Nc2ccncc2)c2ccccc21,100000.0,nM,,uM,100.0
CHEMBL332938,COc1ccc2ncnc(NCc3ccccc3)c2c1,200.0,nM,6.70,nM,200.0
CHEMBL443523,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,0.45,nM,9.35,nM,0.45
CHEMBL125920,CCOc1cc2ncnc(Nc3cccc(-c4cc[nH]n4)c3)c2cc1OCC,11.0,nM,7.96,uM,0.011
CHEMBL89505,CC(C)(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O,7900.0,nM,5.10,uM,7.9
CHEMBL21078,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccs2)n1,100000.0,nM,,uM,100.0
CHEMBL65250,C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,4.0,nM,8.40,nM,4.0
CHEMBL86944,COc1c(Br)cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C,100000.0,nM,,uM,100.0
CHEMBL89721,CSc1ccc(/C=C2\C(=O)Nc3ccccc32)s1,100000.0,nM,,uM,100.0
CHEMBL86921,CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1,100000.0,nM,,uM,100.0
CHEMBL347854,Cc1ccc(S(=O)(=O)c2c(SSc3[nH]c4ccccc4c3S(=O)(=O)c3ccc(C)cc3)[nH]c3ccccc23)cc1,28700.0,nM,4.54,uM,28.7
CHEMBL119758,Brc1cccc(Nc2nnnc3ccccc23)c1,1000.0,nM,,nM,1000.0
CHEMBL117554,Clc1ccc(CNc2ncnc3ccccc23)cc1,7000.0,nM,5.16,nM,7000.0
CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1,320.0,nM,6.50,nM,320.0
CHEMBL315546,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1,100000.0,nM,,uM,100.0
CHEMBL88405,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccc(Br)cc43)cc2)CC1,50000.0,nM,,uM,50.0
CHEMBL330321,Cc1cc(C)c(/C=C2\C(=O)Nc3cccc(C)c32)[nH]1,100000.0,nM,,uM,100.0
CHEMBL328710,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,100000.0,nM,,uM,100.0
CHEMBL349322,Cn1c(SSc2c(C(=O)c3ccccc3)c3ccccc3n2C)c(C(=O)c2ccccc2)c2ccccc21,100000.0,nM,,uM,100.0
CHEMBL156020,CCn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2CC)c(C(=O)Nc2ccccc2)c2ccccc21,100000.0,nM,,uM,100.0
CHEMBL125898,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,30000.0,nM,,uM,30.0
CHEMBL314146,CCc1ccc(/C=C2\C(=O)Nc3ccccc32)s1,44000.0,nM,4.36,uM,44.0
CHEMBL119242,O=[N+]([O-])c1cccc2c(Nc3cccc(Br)c3)ncnc12,10000.0,nM,,nM,10000.0
CHEMBL54088,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1,0.48,nM,9.32,nM,0.48
CHEMBL423288,CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL349762,COC(=O)c1ccccc1NC(=O)c1c(SSc2c(C(=O)Nc3ccccc3C(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,100000.0,nM,,uM,100.0
CHEMBL117988,Nc1cccc2c(NCc3ccccc3)ncnc12,10000.0,nM,,nM,10000.0
CHEMBL421548,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc(N2CCOCC2)cc1,10000.0,nM,,uM,10.0
CHEMBL86326,COc1ccc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C,19300.0,nM,4.71,uM,19.3
CHEMBL89483,Cc1ccc2c(c1)/C(=C/c1[nH]c(C)cc1C)C(=O)N2,100000.0,nM,,uM,100.0
CHEMBL87325,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1ccc[nH]1,100000.0,nM,,uM,100.0
CHEMBL160207,CN(C)C(=O)c1c(SSc2c(C(=O)N(C)C)c3ccccc3n2C)n(C)c2ccccc12,21200.0,nM,4.67,uM,21.2
CHEMBL53555,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,0.77,nM,9.11,nM,0.77
CHEMBL53637,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1.6,nM,8.80,nM,1.6
CHEMBL125086,CCOc1cc2ncnc(Nc3cccc(-c4ccco4)c3)c2cc1OCC,3.0,nM,8.52,uM,0.003
CHEMBL127223,CCOc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1OCC,18.0,nM,7.75,uM,0.018
CHEMBL316009,COC(=O)CCc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,nM,,uM,100.0
CHEMBL278630,O=C(Nc1ccc(Cl)c(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,100000.0,nM,,uM,100.0
CHEMBL348554,CN(C)CCNC(=O)c1c(SSc2c(C(=O)NCCN(C)C)c3ccccc3n2C)n(C)c2ccccc12,17500.0,nM,4.76,uM,17.5
CHEMBL127367,CCOc1cc2ncnc(Nc3cccc(-c4nc[nH]n4)c3)c2cc1OCC,390.0,nM,6.41,uM,0.39
CHEMBL126974,CCOc1cc2ncnc(Nc3cccc(-c4cncnc4)c3)c2cc1OCC,1100.0,nM,5.96,uM,1.1
CHEMBL126653,CCOc1cc2ncnc(Nc3cccc(-c4cnc(C)o4)c3)c2cc1OCC,10000.0,nM,,uM,10.0
CHEMBL160935,Cn1c(SSc2c(C(=O)c3ccco3)c3ccccc3n2C)c(C(=O)c2ccco2)c2ccccc21,7700.0,nM,5.11,uM,7.7
CHEMBL128027,CCOc1cc2nc(C)nc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,9000.0,nM,5.05,uM,9.0
CHEMBL314021,CN1C(=O)/C(=C\c2ccc(Br)cc2)c2ccccc21,100000.0,nM,,uM,100.0
CHEMBL347160,O=C(NCc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)NCc2ccccc2)[nH]c2ccccc12,15000.0,nM,4.82,uM,15.0
CHEMBL53203,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,5.8,nM,8.24,nM,5.8
CHEMBL420411,CCc1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,nM,,uM,100.0
CHEMBL86631,Cn1cccc1/C=C1\C(=O)Nc2ccccc21,100000.0,nM,,uM,100.0
CHEMBL79704,O=C(O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)O)[nH]c2ccccc12,4200.0,nM,5.38,uM,4.2
CHEMBL158275,Cn1c(SSc2c(C(=O)NCc3ccccc3)c3ccccc3n2C)c(C(=O)NCc2ccccc2)c2ccccc21,1700.0,nM,5.77,uM,1.7
CHEMBL92824,FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,577.0,nM,6.24,nM,577.0
CHEMBL126996,CCOc1cc2ncnc(Nc3cccc(-c4cocn4)c3)c2cc1OCC,720.0,nM,6.14,uM,0.72
CHEMBL329367,CN(C)c1ccc(/C=C2\C(=O)Nc3cc(F)ccc32)cc1,100000.0,nM,,uM,100.0
CHEMBL313259,O=C1Nc2ccccc2/C1=C/c1ccc(C(=O)O)cc1,100000.0,nM,,uM,100.0
CHEMBL431025,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc[nH]1,100000.0,nM,,uM,100.0
CHEMBL316020,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,nM,,uM,100.0
CHEMBL87324,Cc1cc(C)c(/C=C2\C(=O)Nc3cc(F)ccc32)[nH]1,100000.0,nM,,uM,100.0
CHEMBL89697,Cc1ccc(/C=C2/C(=O)Nc3ccccc32)o1,100000.0,nM,,uM,100.0
CHEMBL266182,O=C1c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C(=O)N1NCC(O)CO,180000.0,nM,,uM,180.0
CHEMBL60816,O=[N+]([O-])c1cccc(Nc2nccc(-c3ccccn3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL277667,CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,100000.0,nM,4.00,uM,100.0
CHEMBL20811,O=C1c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C(=O)N1NCCO,200000.0,nM,,uM,200.0
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL57581,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3ccc(Cl)cc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL21267,Cc1ccc(S(=O)(=O)NN2C(=O)c3c(c4c5cccc(O)c5n(C5OC(CO)C(O)C(O)C5O)c4c4[nH]c5c(O)cccc5c34)C2=O)cc1,200000.0,nM,,uM,200.0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,20000.0,nM,,uM,20.0
CHEMBL300817,Clc1cccc(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL20255,O=C(NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O)c1ccccn1,200000.0,nM,,uM,200.0
CHEMBL19978,O=C(Nc1ccccc1)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,95000.0,nM,4.02,uM,95.0
CHEMBL21221,O=C(CO)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL278757,CN(C)CC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL278071,CN(C)N1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL21263,O=C(O)CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL418279,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(F)cc1,50000.0,nM,,uM,50.0
CHEMBL55683,O=[N+]([O-])c1cccc(Nc2nccc(-c3ccncc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL21265,NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL278526,N#CCC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL59099,NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,45000.0,nM,4.35,uM,45.0
CHEMBL279035,O=C(O)c1ccc(NN2C(=O)c3c(c4c5cccc(O)c5n(C5OC(CO)C(O)C(O)C5O)c4c4[nH]c5c(O)cccc5c34)C2=O)cc1,90000.0,nM,4.05,uM,90.0
CHEMBL21096,CCCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,59000.0,nM,4.23,uM,59.0
CHEMBL279481,O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1[nH]c3c(O)cccc3c21,29000.0,nM,4.54,uM,29.0
CHEMBL21108,O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1c2c2cccc(O)c2n1C1OC(CO)C(O)C(O)C1O,90000.0,nM,4.05,uM,90.0
CHEMBL282436,O=CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL283766,N#CCCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL56669,CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL277039,NC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL58436,c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,7100.0,nM,5.15,uM,7.1
CHEMBL59036,Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,100000.0,nM,,uM,100.0
CHEMBL299707,COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,4.00,uM,100.0
CHEMBL291963,c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL278101,CCC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL277408,CS(=O)(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL282655,O=C1c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C(=O)N1NCc1cccc(O)c1,200000.0,nM,,uM,200.0
CHEMBL55379,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,1800.0,nM,5.75,uM,1.8
CHEMBL56904,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,100000.0,nM,,uM,100.0
CHEMBL418270,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccnc1,100000.0,nM,,uM,100.0
CHEMBL293991,NCCCn1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)C(F)F)c4)n3)cccc21,530.0,nM,6.28,uM,0.53
CHEMBL56359,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccs1,50000.0,nM,,uM,50.0
CHEMBL428453,CC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL277011,CCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,200000.0,nM,,uM,200.0
CHEMBL277008,O=C1c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C(=O)N1NC(CO)CO,200000.0,nM,,uM,200.0
CHEMBL57690,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,100000.0,nM,4.00,uM,100.0
CHEMBL55662,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3ccncc3)n2)c1,100000.0,nM,,uM,100.0
CHEMBL277432,O=C(NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O)c1ccccc1,200000.0,nM,,uM,200.0
CHEMBL55592,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1,100000.0,nM,,uM,100.0
CHEMBL57553,Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,50000.0,nM,4.30,uM,50.0
CHEMBL56081,O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,100000.0,nM,4.00,uM,100.0
CHEMBL58142,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1,100000.0,nM,,uM,100.0
CHEMBL58580,N#Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,100000.0,nM,,uM,100.0
CHEMBL49350,O=C(NCCc1ccccc1)c1cc2ccc(O)c(O)c2cn1,1400.0,nM,5.85,uM,1.4
CHEMBL295961,CNc1ccc2cncnc2c1,4.0,nM,8.40,nM,4.0
CHEMBL168366,O=C(OCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,130.0,nM,6.89,uM,0.13
CHEMBL435902,O=C(OCCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,400.0,nM,6.40,uM,0.4
CHEMBL52665,Brc1cccc(Nc2ncnc3ccncc23)c1,35.0,nM,7.46,nM,35.0
CHEMBL545776,COc1cc2ncnc(N3CCc4ccccc43)c2cc1OC.Cl,3000.0,nM,5.52,uM,3.0
CHEMBL169657,CONC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,300.0,nM,6.52,uM,0.3
CHEMBL171172,O=C(Oc1ccc(-c2ccccc2)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,5000.0,nM,5.30,uM,5.0
CHEMBL300491,COc1ccc2cncnc2c1,10.0,nM,8.00,nM,10.0
CHEMBL170997,CC(C)CCCC(C)CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,7000.0,nM,5.16,uM,7.0
CHEMBL354128,CC(CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O)c1ccccc1,400.0,nM,6.40,uM,0.4
CHEMBL168915,O=C(Oc1cccc2ccccc12)c1cc(NCc2cc(O)ccc2O)ccc1O,110.0,nM,6.96,uM,0.11
CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.091,nM,10.04,nM,0.091
CHEMBL53121,Fc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,124.0,nM,6.91,nM,124.0
CHEMBL170111,CC(C)(C)OC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,1000.0,nM,6.00,uM,1.0
CHEMBL133147,Cc1cc(C)c2ncnc(N(C)c3ccccc3)c2c1,20000.0,nM,,uM,20.0
CHEMBL355857,CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,400.0,nM,6.40,uM,0.4
